"Order ID","Order Date","Ship Date","Customer Name","Region","Category","Sub-Category","Product Name","Sales","Quantity","Discount","Profit","Shipping Delay (Days)"
"ORD-1029","2022-01-02 05:00:00","2022-01-03 05:00:00","Charlie","East","Furniture","Binders","Monitor","505.83","2","0.15","150.4","1"
"ORD-1030","2022-01-02 06:00:00","2022-01-03 06:00:00","Charlie","Central","Furniture","Binders","Desk","505.83","4","0.15","150.4","1"
"ORD-1031","2022-01-02 07:00:00","2022-01-03 07:00:00","Bob","South","Technology","Phones","Monitor","505.83","1","0.15","150.4","1"
"ORD-1032","2022-01-02 08:00:00","2022-01-03 08:00:00","David","Central","Technology","Chairs","Monitor","505.83","4","0.15","150.4","1"
"ORD-1033","2022-01-02 09:00:00","2022-01-03 09:00:00","David","West","Furniture","Phones","Desk","505.83","1","0.15","150.4","1"
"ORD-1034","2022-01-02 10:00:00","2022-01-03 10:00:00","Frank","South","Technology","Accessories","Stapler","505.83","2","0.15","150.4","1"
"ORD-1035","2022-01-02 11:00:00","2022-01-03 11:00:00","Frank","East","Furniture","Phones","Paper","505.83","2","0.15","150.4","1"
"ORD-1036","2022-01-02 12:00:00","2022-01-03 12:00:00","Frank","East","Technology","Tables","Printer","505.83","3","0.15","150.4","1"
"ORD-1037","2022-01-02 13:00:00","2022-01-03 13:00:00","Charlie","West","Technology","Binders","Desk","505.83","8","0.15","150.4","1"
"ORD-1038","2022-01-02 14:00:00","2022-01-03 14:00:00","David","Central","Office Supplies","Binders","Monitor","505.83","6","0.15","150.4","1"
"ORD-1039","2022-01-02 15:00:00","2022-01-03 15:00:00","David","West","Technology","Chairs","Desk","505.83","6","0.15","150.4","1"
"ORD-1040","2022-01-02 16:00:00","2022-01-03 16:00:00","Alice","South","Office Supplies","Chairs","Paper","505.83","9","0.15","150.4","1"
"ORD-1041","2022-01-02 17:00:00","2022-01-03 17:00:00","Charlie","West","Technology","Accessories","Pen","505.83","8","0.15","150.4","1"
"ORD-1042","2022-01-02 18:00:00","2022-01-03 18:00:00","Eva","East","Furniture","Storage","Monitor","505.83","2","0.15","150.4","1"
"ORD-1043","2022-01-02 19:00:00","2022-01-03 19:00:00","Charlie","South","Furniture","Accessories","Printer","505.83","6","0.15","150.4","1"
"ORD-1044","2022-01-02 20:00:00","2022-01-03 20:00:00","Eva","East","Technology","Tables","Printer","505.83","1","0.15","150.4","1"
"ORD-1045","2022-01-02 21:00:00","2022-01-03 21:00:00","Alice","Central","Technology","Chairs","Printer","505.83","9","0.15","150.4","1"
"ORD-1046","2022-01-02 22:00:00","2022-01-03 22:00:00","Bob","East","Furniture","Chairs","Pen","505.83","4","0.15","150.4","1"
"ORD-1047","2022-01-02 23:00:00","2022-01-03 23:00:00","David","East","Technology","Accessories","Stapler","505.83","4","0.15","150.4","1"
"ORD-1048","2022-01-03 00:00:00","2022-01-04 00:00:00","Alice","Central","Office Supplies","Accessories","Monitor","505.83","9","0.15","150.4","1"
"ORD-1049","2022-01-03 01:00:00","2022-01-04 01:00:00","David","East","Office Supplies","Accessories","Pen","505.83","3","0.15","150.4","1"
"ORD-1050","2022-01-03 02:00:00","2022-01-04 02:00:00","Frank","South","Office Supplies","Binders","Monitor","505.83","5","0.15","150.4","1"
